"Menu Item Name","Menu Category","QTY sold","Sales exc Tax.","Discounts","Sales inc Tax.(a)","Cost inc Tax(b)","Gross Profit(a)-(b)","Markup Percentage %(a-b)/b * 100%"
"Aloe Vera(Standard)","Korean Soft Drinks","264","£ 673.50","£ 5.62","£ 707.18","£ 0.00","£ 707.18","0 %"
"Calpis(Standard)","Korean Soft Drinks","54","£ 138.34","£ 0.54","£ 145.26","£ 0.00","£ 145.26","0 %"
"Hai Tai Bong Bong Grape Juice(Standard)","Korean Soft Drinks","224","£ 739.84","£ 7.17","£ 776.83","£ 0.00","£ 776.83","0 %"
"Palde Rice Punch(Standard)","Korean Soft Drinks","33","£ 91.14","£ 1.65","£ 95.70","£ 0.00","£ 95.70","0 %"
"Ramune Lychee(Standard)","Korean Soft Drinks","1","£ 2.57","£ 0.00","£ 2.70","£ 0.00","£ 2.70","0 %"
"Jinro Cham Yi Sul (Fresh)(Standard)","Korean Soju","53","£ 486.66","£ 19.01","£ 510.99","£ 0.00","£ 510.99","0 %"
"Jinro Cham Yi Sul (Green Grapes)(Standard)","Korean Soju","12","£ 97.14","£ 0.00","£ 102.00","£ 0.00","£ 102.00","0 %"
"53. Seafood Pancake(Standard)","Korean Starter 53-61","354","£ 2924.34","£ 97.74","£ 3070.56","£ 0.00","£ 3070.56","0 %"
"54. Kimchi Pancake(Standard)","Korean Starter 53-61","259","£ 2167.72","£ 41.94","£ 2276.11","£ 0.00","£ 2276.11","0 %"
"55. Beef Jap Chae(Standard)","Korean Starter 53-61","174","£ 1355.13","£ 56.11","£ 1422.89","£ 0.00","£ 1422.89","0 %"
"56. Corn Cheese(Standard)","Korean Starter 53-61","107","£ 782.49","£ 23.69","£ 821.61","£ 0.00","£ 821.61","0 %"
"57. Topokki(Standard)","Korean Starter 53-61","310","£ 2857.19","£ 84.45","£ 3000.05","£ 0.00","£ 3000.05","0 %"
"58. Tofu Kimchi(Standard)","Korean Starter 53-61","76","£ 563.15","£ 9.09","£ 591.31","£ 0.00","£ 591.31","0 %"
"59. Mandu (5pc)(Standard)","Korean Starter 53-61","1094","£ 7163.17","£ 181.27","£ 7521.33","£ 0.00","£ 7521.33","0 %"
"60. Kan Pun Ki (6pc)(Standard)","Korean Starter 53-61","383","£ 2809.19","£ 76.05","£ 2949.65","£ 0.00","£ 2949.65","0 %"
"Lunch/Early Set","Set Menu","1956","£ 19833.91","£ 357.39","£ 20825.61","£ 0.00","£ 20825.61","0 %"
"61. Fried Chicken Wings (4pc)(Standard)","Korean Starter 53-61","740","£ 4456.48","£ 130.70","£ 4679.30","£ 0.00","£ 4679.30","0 %"
"47. Yaki Soba(Vegatable)","Noodles 47-48","200","£ 1570.17","£ 51.32","£ 1648.68","£ 0.00","£ 1648.68","0 %"
"47. Yaki Soba(Chicken)","Noodles 47-48","417","£ 3686.75","£ 90.41","£ 3871.09","£ 0.00","£ 3871.09","0 %"
"47. Yaki Soba(King Prawns)","Noodles 47-48","185","£ 2155.56","£ 49.16","£ 2263.34","£ 0.00","£ 2263.34","0 %"
"47. Yaki Soba(Pan Seared Duck)","Noodles 47-48","58","£ 815.84","£ 10.47","£ 856.63","£ 0.00","£ 856.63","0 %"
"47. Yaki Soba(Seafood)","Noodles 47-48","51","£ 659.26","£ 47.28","£ 692.22","£ 0.00","£ 692.22","0 %"
"47. Yaki Soba(Grilled Ribeye Steak)","Noodles 47-48","63","£ 879.42","£ 18.46","£ 923.39","£ 0.00","£ 923.39","0 %"
"47. Yaki Soba(Beef)","Noodles 47-48","216","£ 1908.94","£ 47.61","£ 2004.39","£ 0.00","£ 2004.39","0 %"
"47. Yaki Udon(Vegetable)","Noodles 47-48","121","£ 959.14","£ 21.40","£ 1007.10","£ 0.00","£ 1007.10","0 %"
"47. Yaki Udon(Chicken)","Noodles 47-48","219","£ 1916.79","£ 67.87","£ 2012.63","£ 0.00","£ 2012.63","0 %"
"47. Yaki Udon(Beef)","Noodles 47-48","135","£ 1180.73","£ 42.73","£ 1239.77","£ 0.00","£ 1239.77","0 %"
"47. Yaki Udon(King Prawns)","Noodles 47-48","117","£ 1366.68","£ 27.49","£ 1435.01","£ 0.00","£ 1435.01","0 %"
"47. Yaki Udon(Pan Seared Duck)","Noodles 47-48","60","£ 833.29","£ 22.05","£ 874.95","£ 0.00","£ 874.95","0 %"
"47. Yaki Udon(Seafood)","Noodles 47-48","36","£ 468.83","£ 29.73","£ 492.27","£ 0.00","£ 492.27","0 %"
"47. Yaki Udon(Grilled Ribeye Steak)","Noodles 47-48","31","£ 423.86","£ 18.40","£ 445.05","£ 0.00","£ 445.05","0 %"
